treeID,species,stems,x,y,dbh_cm
1,QUDO,2,12.5,0,181.4
2,QUDO,1,4,6.75,140
3,QUDO,2,10,6.3,113.1
4,QUDO,1,5,8.5,60
5,QUDO,1,10,13,135
6,QUDO,1,12.5,12.5,190
7,QUDO,1,-12.5,15.25,210
8,QUDO,1,4.8,37,225
9,QUDO,1,-12.5,42.25,230
