treeID,species,stems,x,y,dbh_cm
1,QUDO,2,5.25,6.6,25.5
2,QUDO,2,8.5,7.5,21.4
3,QUDO,1,-11,6.6,26.5
4,QUDO,1,-10,6.8,27
5,QUDO,1,-8,13.6,40
6,QUDO,2,-9.5,16.3,15
7,QUDO,1,-4,19.6,54.8
8,QUDO,1,5.25,19.6,43.25
9,QUDO,1,12.5,22,27.9
10,QUDO,1,1.5,24,43.4
11,QUDO,1,-10.25,27.75,44.5
12,QUDO,1,-9.75,29.75,58
13,QUDO,1,-11,36,65
14,QUAG,1,-3.25,43.1,25.5
15,QUAG,2,-3.2,46,38
16,QUDO,2,2.1,49.5,28.1
17,QUAG,2,5.75,50,43.1
