"treeID","species","stems","x","y","dbh"
1,"QUDO","1",-2.28,49.3,14.5
2,"QUDO","1",-4.3,49.3,13.5
3,"QUDO","1",-2.25,48,20.5
4,"QUDO","1",-3.7,46.9,27.5
5,"QUDO","1",-5.7,46.9,12
6,"QUDO","3",-5.1,45.3,34.8
7,"QUDO","1",0,35,16.5
8,"QUDO","1",0,34.3,28.2
9,"QUDO","3",-10.15,33.7,37.9
10,"QUDO","1",-4.65,25.75,19.1
11,"QUDO","1",-3.2,24.35,31.8
12,"QUDO","1",-7.55,24.1,20.1
13,"QUDO","2",-8.3,19.1,40.4
14,"QUDO","1",-5.15,11.75,18.5
15,"QUDO","1",-9.55,10.4,29.4
16,"QUDO","1",-1.2,7,40.3
17,"QUDO","2",-5.55,7.1,22.1
18,"QUDO","2",-7.95,5.7,31.7
19,"QUDO","2",-5.35,2.24,22.9
20,"QUDO","1",-4.8,2.3,18.5
21,"QUDO","1",1.8,48.1,16.6
22,"QUDO","1",1.72,47.4,18.5
23,"QUDO","1",3.45,47.4,25.3
24,"QUDO","1",3.61,46.8,18
25,"QUDO","1",5.45,40.35,14.5
26,"QUDO","1",9.82,40.9,20.5
27,"QUDO","1",11.45,40.35,27.8
28,"QUDO","1",7.96,40.1,17.6
29,"QUDO","1",9.12,39.42,25.6
30,"QUDO","1",1.23,39.86,21.1
31,"QUAG","1",6.38,39.33,46.5
32,"QUDO","1",6.7,37.21,28
33,"QUDO","1",6.89,35.66,12.1
34,"QUDO","1",3.67,30.5,25.1
35,"QUDO","1",4.33,30.5,15.1
36,"QUDO","1",4.34,29.76,32.7
37,"QUDO","2",0.73,28.9,24.8
38,"QUDO","1",6.45,26.75,17.5
39,"QUDO","2",6.65,19.65,47.6
40,"QUDO","1",12.32,10.22,26
41,"QUDO","1",10.72,10,30.8
42,"QUDO","1",11.3,6.5,16.8
43,"QUDO","1",8.7,8.2,34.2
44,"QUDO","1",6.5,8.9,15.8
45,"QUDO","1",3.2,9.8,13
46,"QUDO","1",4.1,11.2,25.6
