treeID,species,stems,x,y,dbh_in,dbh_m
1,QUDO,2,1.94,1.9,88.1888,2.24
2,QUDO,1,5,5.2,30.3149,0.77
3,QUDO,1,7.75,4.15,23.622,0.6
4,QUDO,1,14.25,8.9,27.559,0.7
5,QUDO,1,11.5,5.2,57.4802,1.46
6,QUDO,2,8.55,-1.5,79.1337,2.01
7,QUDO,4,15.5,-4.25,104.3305,2.65
8,QUDO,1,24,3.9,56.2991,1.43
9,QUDO,1,31.85,11.35,46.8503,1.19
10,QUDO,2,31,12.5,71.6534,1.82
11,QUDO,15,38.9,3.5,283.464,7.2
12,QUDO,3,38.2,-8.9,92.9132,2.36
13,QUDO,4,49.5,-9.4,121.2596,3.08
